parcel_id,slr_m,depth_m,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,annual_rental_income,monthly_rental_income,rentalval,rentalval_note,elevation,distance_to_coast_meters,distance_to_coast_km,median_ageE,whiteE,blackE,asianE,hispanicE,median_incomeE,educationE,unemploymentE,hazard_type,property_id
5,0.25,0.0860019251704216,PAST SALE,NA,Single Family Residential,1229 King Salmon Ave,Eureka,CA,95503,293893,2,1,NA,704,6098,1965,NA,185,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1229-King-Salmon-Ave-95503/home/115888420,NA,NA,Y,Y,40.7411812,-124.2155331,"1229 King Salmon Ave, Eureka, CA",14694.65,1224.5541666666668,1224.5541666666668,baseline_5pct,1.68,86.32996290260485,0.08632996290260485,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
5,0.5,0.3028304874897003,PAST SALE,NA,Single Family Residential,1229 King Salmon Ave,Eureka,CA,95503,293893,2,1,NA,704,6098,1965,NA,185,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1229-King-Salmon-Ave-95503/home/115888420,NA,NA,Y,Y,40.7411812,-124.2155331,"1229 King Salmon Ave, Eureka, CA",14694.65,1224.5541666666668,1224.5541666666668,baseline_5pct,1.68,86.32996290260485,0.08632996290260485,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
5,0.75,0.5728304982185364,PAST SALE,NA,Single Family Residential,1229 King Salmon Ave,Eureka,CA,95503,293893,2,1,NA,704,6098,1965,NA,185,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1229-King-Salmon-Ave-95503/home/115888420,NA,NA,Y,Y,40.7411812,-124.2155331,"1229 King Salmon Ave, Eureka, CA",14694.65,1224.5541666666668,1224.5541666666668,baseline_5pct,1.68,86.32996290260485,0.08632996290260485,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
5,1,0.8328304886817932,PAST SALE,NA,Single Family Residential,1229 King Salmon Ave,Eureka,CA,95503,293893,2,1,NA,704,6098,1965,NA,185,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1229-King-Salmon-Ave-95503/home/115888420,NA,NA,Y,Y,40.7411812,-124.2155331,"1229 King Salmon Ave, Eureka, CA",14694.65,1224.5541666666668,1224.5541666666668,baseline_5pct,1.68,86.32996290260485,0.08632996290260485,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
5,1.5,1.3464751243591309,PAST SALE,NA,Single Family Residential,1229 King Salmon Ave,Eureka,CA,95503,293893,2,1,NA,704,6098,1965,NA,185,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1229-King-Salmon-Ave-95503/home/115888420,NA,NA,Y,Y,40.7411812,-124.2155331,"1229 King Salmon Ave, Eureka, CA",14694.65,1224.5541666666668,1224.5541666666668,baseline_5pct,1.68,86.32996290260485,0.08632996290260485,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
5,2,2.0127358436584473,PAST SALE,NA,Single Family Residential,1229 King Salmon Ave,Eureka,CA,95503,293893,2,1,NA,704,6098,1965,NA,185,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1229-King-Salmon-Ave-95503/home/115888420,NA,NA,Y,Y,40.7411812,-124.2155331,"1229 King Salmon Ave, Eureka, CA",14694.65,1224.5541666666668,1224.5541666666668,baseline_5pct,1.68,86.32996290260485,0.08632996290260485,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
5,2.5,2.5228304862976074,PAST SALE,NA,Single Family Residential,1229 King Salmon Ave,Eureka,CA,95503,293893,2,1,NA,704,6098,1965,NA,185,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1229-King-Salmon-Ave-95503/home/115888420,NA,NA,Y,Y,40.7411812,-124.2155331,"1229 King Salmon Ave, Eureka, CA",14694.65,1224.5541666666668,1224.5541666666668,baseline_5pct,1.68,86.32996290260485,0.08632996290260485,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
5,3,3.0515871047973633,PAST SALE,NA,Single Family Residential,1229 King Salmon Ave,Eureka,CA,95503,293893,2,1,NA,704,6098,1965,NA,185,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1229-King-Salmon-Ave-95503/home/115888420,NA,NA,Y,Y,40.7411812,-124.2155331,"1229 King Salmon Ave, Eureka, CA",14694.65,1224.5541666666668,1224.5541666666668,baseline_5pct,1.68,86.32996290260485,0.08632996290260485,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
6,0,0,PAST SALE,NA,Single Family Residential,1237 King Salmon Ave,Eureka,CA,95503,208480,1,1,NA,616,7841,1970,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1237-King-Salmon-Ave-95503/home/115840741,NA,NA,Y,Y,40.7413053,-124.2155155,"1237 King Salmon Ave, Eureka, CA",10424,868.6666666666666,868.6666666666666,baseline_5pct,1.53,98.95059674233238,0.09895059674233238,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
6,0.25,0.1633663773536682,PAST SALE,NA,Single Family Residential,1237 King Salmon Ave,Eureka,CA,95503,208480,1,1,NA,616,7841,1970,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1237-King-Salmon-Ave-95503/home/115840741,NA,NA,Y,Y,40.7413053,-124.2155155,"1237 King Salmon Ave, Eureka, CA",10424,868.6666666666666,868.6666666666666,baseline_5pct,1.53,98.95059674233238,0.09895059674233238,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
