"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","full_address","rentalval","elevation","rent","longitude","latitude","landval_acre","landshare","landval","strval","parcel_id.x","parcel_id.y","retreat_year_Intermediate","retreat_year_Intermediate_High","retreat_year_High","X","Y"
"PAST SALE","August-9-2022","Single Family Residential","607 Sand Point Rd","Carpinteria","CA","93013",2.3e+07,4,4,"CARPINTERIA-SUMMERLAND",3476,52272,1963,NA,6617,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/607-Sand-Point-Rd-93013/home/21612920","SBMLS","22-1347","N","Y","607 Sand Point Rd, Carpinteria, CA",9937,3.03,119244,-119.5400456,34.3994895,3180800,0.512,11776000,11224000,34,34,1,1,1,-119.5400456,34.3994895
"PAST SALE",NA,"Single Family Residential","4315 Del Mar Ave","Carpinteria","CA","93013",8e+06,2,3,NA,1922,13068,1930,NA,4162,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/4315-Del-Mar-Ave-93013/home/21614292",NA,NA,"N","Y","4315 Del Mar Ave, Carpinteria, CA",6077,2.11,72924,-119.534172,34.396306,3180800,0.512,4096000,3904000,35,35,1,1,1,-119.534172,34.396306
"PAST SALE","December-15-2020","Single Family Residential","4848 Sandyland Rd","Carpinteria","CA","93013",1489613,3,2,"CARPINTERIA-SUMMERLAND",1288,435,1979,NA,893,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4848-Sandyland-Rd-93013/home/21613792","SBMLS","20-3423","N","Y","4848 Sandyland Rd, Carpinteria, CA",2773,4.26,33276,-119.5262672,34.3953587,3180800,0.512,762681.856,726931.144,36,36,101,74,50,-119.5262672,34.3953587
"PAST SALE","January-23-2025","Condo/Co-op","4975 Sandyland Rd #109","Carpinteria","CA","93013",3200000,2,1,"CARPINTERIA-SUMMERLAND",683,871,1964,NA,4685,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-109/home/21613652","SBMLS","24-3157","N","Y","4975 Sandyland Rd #109, Carpinteria, CA",1699,4.06,20388,-119.525147,34.393902,3180800,0.512,1638400,1561600,37,37,1,1,1,-119.525147,34.393902
"PAST SALE","June-7-2021","Condo/Co-op","4975 Sandyland Rd #206","Carpinteria","CA","93013",1115706,2,1,"CARPINTERIA-SUMMERLAND",683,NA,1964,NA,1977,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-206/home/21613644","SBMLS","21-305","N","Y","4975 Sandyland Rd #206, Carpinteria, CA",1642,4.06,19704,-119.525147,34.393902,3180800,0.512,571241.472,544464.528,38,38,81,43,25,-119.525147,34.393902
"PAST SALE","July-24-2020","Condo/Co-op","4700 Sandyland Rd #2","Carpinteria","CA","93013",1042744,2,1,"Sandyland Cove",700,NA,1970,NA,1150,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-2/home/21614023","SBMLS","20-840","N","Y","4700 Sandyland Rd #2, Carpinteria, CA",1631,3.73,19572,-119.5270762,34.3957702,3180800,0.512,533884.928,508859.072,39,39,84,45,27,-119.5270762,34.3957702
"PAST SALE","September-4-2024","Condo/Co-op","4950 Sandyland Rd #230","Carpinteria","CA","93013",690531,1,1,"CARPINTERIA-SUMMERLAND",436,NA,1962,NA,1718,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-230/home/21613807","SBMLS","24-433","N","Y","4950 Sandyland Rd #230, Carpinteria, CA",1569,4.43,18828,-119.525032,34.394428,3180800,0.512,353551.872,336979.128,40,40,101,97,67,-119.525032,34.394428
"PAST SALE",NA,"Single Family Residential","4755 Sandyland Rd #6","Carpinteria","CA","93013",1303105,2,1,NA,875,871,1959,NA,1337,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/4755-Sandyland-Rd-93013/unit-6/home/21614167",NA,NA,"N","Y","4755 Sandyland Rd #6, Carpinteria, CA",3392,3,40704,-119.5279833,34.395378,3180800,0.512,667189.76,635915.24,41,41,87,47,29,-119.5279833,34.395378
"PAST SALE",NA,"Condo/Co-op","4700 Sandyland Rd #52","Carpinteria","CA","93013",1077937,2,2,NA,828,NA,1970,NA,954,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-52/home/21614386",NA,NA,"N","Y","4700 Sandyland Rd #52, Carpinteria, CA",2004,3.73,24048,-119.5270762,34.3957702,3180800,0.512,551903.744,526033.256,42,42,101,59,38,-119.5270762,34.3957702
"PAST SALE",NA,"Condo/Co-op","4975 Sandyland Rd #210","Carpinteria","CA","93013",888440,2,1,NA,683,NA,1964,NA,2236,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-210/home/21613639",NA,NA,"N","Y","4975 Sandyland Rd #210, Carpinteria, CA",1611,4.06,19332,-119.525147,34.393902,3180800,0.512,454881.28,433558.72,43,43,101,60,39,-119.525147,34.393902
