SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,rentalval,rentalval_note
PAST SALE,NA,Single Family Residential,775 Sand Point Rd,Carpinteria,CA,93013,4333292,2,2,NA,1530,108464,1952,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/775-Sand-Point-Rd-93013/home/21611952,NA,NA,Y,Y,34.4027754,-119.5437832,"775 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,April-29-2011,Single Family Residential,755 Sand Point Rd,Carpinteria,CA,93013,5000000,2,2.5,Carpinteria,NA,NA,1945,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/755-Sand-Point-Rd-93013/home/21611951,SBMLS,11-1583,Y,Y,34.4021823,-119.5432306,"755 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,October-28-2011,Single Family Residential,745 Sand Point Rd,Carpinteria,CA,93013,3415000,3,3,Carpinteria,2200,46609,1940,NA,1552,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/745-Sand-Point-Rd-93013/home/21612179,SBMLS,11-1165,Y,Y,34.4019853,-119.5430241,"745 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,March-25-2014,Single Family Residential,735 Sand Point Rd,Carpinteria,CA,93013,5850000,4,6,Carpinteria-summerland,3044,NA,1956,NA,1922,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/735-Sand-Point-Rd-93013/home/21611961,SBMLS,14-903,Y,Y,34.4019815,-119.542795,"735 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,NA,Single Family Residential,721 Sand Point Rd,Carpinteria,CA,93013,5921022,4,5,NA,4305,18295,1999,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/721-Sand-Point-Rd-93013/home/21611950,NA,NA,Y,Y,34.4018647,-119.5425657,"721 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,April-25-2014,Single Family Residential,711 Sand Point Rd,Carpinteria,CA,93013,7100000,4,3,Sandyland Cove,2634,274428,1952,NA,2696,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/711-Sand-Point-Rd-93013/home/21611949,SBMLS,14-1297,Y,Y,34.4016981,-119.5423044,"711 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,July-11-2006,Single Family Residential,701 Sand Point Rd,Carpinteria,CA,93013-1105,7200000,3,3.5,Sandyland Cove,NA,130680,1982,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/701-Sand-Point-Rd-93013/home/21611960,SBMLS,06-137,Y,Y,34.4013214,-119.5418909,"701 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,December-11-2008,Single Family Residential,685 Sand Point Rd,Carpinteria,CA,93013,7290000,3,4,Padaro,NA,131986,1961,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/685-Sand-Point-Rd-93013/home/21611959,SBMLS,07-4753,Y,Y,34.4011155,-119.5416655,"685 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,NA,Single Family Residential,671 Sand Point Rd,Carpinteria,CA,93013,3511548,4,4,NA,3030,74052,1965,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/671-Sand-Point-Rd-93013/home/21613482,NA,NA,Y,Y,34.4008581,-119.5414381,"671 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,March-9-2004,Single Family Residential,657 Sand Point Rd,Carpinteria,CA,93013-1103,7235000,4,4,Sandyland Cove,4100,NA,1979,NA,1765,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/657-Sand-Point-Rd-93013/home/21612924,SBMLS,03-1204,Y,Y,34.4006401,-119.5411437,"657 Sand Point Rd, Carpinteria, CA",NA,not_found
