SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,annual_rental_income,monthly_rental_income,rentalval,rentalval_note,elevation,distance_to_coast_meters,distance_to_coast_km,median_ageE,whiteE,blackE,asianE,hispanicE,median_incomeE,educationE,unemploymentE,hazard_type,property_id
PAST SALE,September-4-2024,Condo/Co-op,4950 Sandyland Rd #230,Carpinteria,CA,93013,752938,1,1,CARPINTERIA-SUMMERLAND,436,NA,1962,NA,1718,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-230/home/21613807,SBMLS,24-433,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #230, Carpinteria, CA",37646.9,3137.241666666667,3137.241666666667,baseline_5pct,4.43,197.92190997840748,0.19792190997840747,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,NA,Single Family Residential,4755 Sandyland Rd #6,Carpinteria,CA,93013,1170000,2,1,NA,875,871,1959,NA,1337,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4755-Sandyland-Rd-93013/unit-6/home/21614167,NA,NA,N,Y,34.395378,-119.5279833,"4755 Sandyland Rd #6, Carpinteria, CA",58500,4875,4875,baseline_5pct,3,146.0499046999814,0.1460499046999814,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,NA,Condo/Co-op,4975 Sandyland Rd #210,Carpinteria,CA,93013,1527500,2,1,NA,683,NA,1964,NA,2236,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-210/home/21613639,NA,NA,N,Y,34.393902,-119.525147,"4975 Sandyland Rd #210, Carpinteria, CA",76375,6364.583333333333,6364.583333333333,baseline_5pct,4.06,129.97014644725382,0.12997014644725383,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,July-6-2011,Condo/Co-op,4825 Sandyland Rd #4,Carpinteria,CA,93013,2354892,2,2,Sandyland Cove,966,NA,1978,NA,1128,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4825-Sandyland-Rd-93013/unit-4/home/21612908,SBMLS,11-380,Y,Y,34.394747,-119.526726,"4825 Sandyland Rd #4, Carpinteria, CA",117744.6,9812.050000000001,9812.050000000001,baseline_5pct,3.66,141.6493746690483,0.1416493746690483,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,NA,Condo/Co-op,4825 Sandyland Rd #7,Carpinteria,CA,93013,958456,2,2,NA,966,NA,1978,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4825-Sandyland-Rd-93013/unit-7/home/21612905,NA,NA,Y,Y,34.3948,-119.526516,"4825 Sandyland Rd #7, Carpinteria, CA",47922.8,3993.566666666667,3993.566666666667,baseline_5pct,3.86,159.4626353960458,0.1594626353960458,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,NA,Condo/Co-op,4825 Sandyland Rd #8,Carpinteria,CA,93013,952313,2,2,NA,966,NA,1978,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4825-Sandyland-Rd-93013/unit-8/home/21612904,NA,NA,Y,Y,34.394714,-119.526593,"4825 Sandyland Rd #8, Carpinteria, CA",47615.65,3967.9708333333333,3967.9708333333333,baseline_5pct,3.72,145.13596177259672,0.14513596177259672,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,July-22-2003,Condo/Co-op,4880 Sandyland Apt 12 Rd,Carpinteria,CA,93013-2318,773760,1,1,Carpinteria,NA,NA,1962,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4880-Sandyland-Rd-93013/unit-12/home/21614237,SBMLS,03-1391,Y,Y,34.394871,-119.525729,"4880 Sandyland Apt 12 Rd, Carpinteria, CA",38688,3224,3224,baseline_5pct,4.31,211.27484437480555,0.21127484437480556,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,December-6-2004,Condo/Co-op,879 Sand Point Rd,Carpinteria,CA,93013-1107,5250000,5,4.5,CARPINTERIA-SUMMERLAND,NA,NA,2003,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/879-Sand-Point-Rd-93013/home/21611780,SBMLS,04-4120,Y,Y,34.4055391,-119.5475253,"879 Sand Point Rd, Carpinteria, CA",262500,21875,21875,baseline_5pct,4.82,149.32406213971532,0.14932406213971533,57.8,3413,42,177,901,145066,1101,175,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,NA,Single Family Residential,877 Sand Point Rd,Carpinteria,CA,93013,4219780,3,5,NA,4734,8712,1997,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/877-Sand-Point-Rd-93013/home/21611781,NA,NA,Y,Y,34.4053383,-119.5474274,"877 Sand Point Rd, Carpinteria, CA",210989,17582.416666666668,17582.416666666668,baseline_5pct,4.14,137.2697541061382,0.1372697541061382,57.8,3413,42,177,901,145066,1101,175,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,NA,Single Family Residential,871 Sand Point Rd,Carpinteria,CA,93013,4700000,4,4,NA,5235,6534,1997,NA,898,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/871-Sand-Point-Rd-93013/home/21611784,NA,NA,Y,Y,34.4047826,-119.5469257,"871 Sand Point Rd, Carpinteria, CA",235000,19583.333333333332,19583.333333333332,baseline_5pct,6.68,121.66097803533599,0.12166097803533599,57.8,3413,42,177,901,145066,1101,175,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
