parcel_id,scenario,cliff_scenario,retreat_year,T_flood,T_cliff,initial_cliff_dist,cliff_exposure_status,retreat_trigger,timing_category,parameter_set,rental_yield,discount_rate,damage_threshold,owner_utility,ADDRESS,PRICE,strval,landval,LATITUDE,LONGITUDE,rent,npv_rent,buyout_uncapped,buyout_price
156,High,LetItGo,31,81,31,21.941837824780972,within_retreat_threshold,cliff_erosion_ongoing,mid_term,baseline,0.05,0.02,0.15,0,235 Shoreview Ave,1091004,322937.184,768066.816,37.6376671,-122.4936029,54550.200000000004,1276281.3295984,2044348.1455984,1091004
157,High,LetItGo,60,81,60,95.15506500396108,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,180 Surf St,868300,257016.80000000005,611283.2,37.6380143,-122.4927825,43415,1539326.7729856512,2150609.9729856513,868300
158,High,LetItGo,50,81,50,79.66982044007253,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,166 surf,840500,248788,591712,37.6380186,-122.4929581,42025,1346988.578434335,1938700.578434335,840500
159,High,LetItGo,34,81,34,50.309930387832466,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,136 Surf St,1086202,321515.792,764686.208,37.6380254,-122.493291,54310.100000000006,1357131.3854224652,2121817.593422465,1086202
160,High,LetItGo,27,81,27,34.067511079694484,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,120 Surf St,1063539,314807.544,748731.456,37.6380192,-122.4934749,53176.950000000004,1123152.262473589,1871883.718473589,1063539
161,High,LetItGo,33,81,33,18.532681144845256,within_retreat_threshold,cliff_erosion_ongoing,mid_term,baseline,0.05,0.02,0.15,0,104 Surf,1183307,350258.8720000001,833048.1279999999,37.6380137,-122.4936508,59165.350000000006,1447677.5937856764,2280725.721785676,1183307
162,High,LetItGo,71,81,71,111.13108264185374,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,195195 Surf St Unit 195A,1050795,311035.32000000007,739759.6799999999,37.638409,-122.492612,52539.75,2022707.8330472196,2762467.5130472193,1050795
163,High,LetItGo,68,81,68,107.7373822623192,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,195 SURF St,1034980,306354.0800000001,728625.9199999999,37.6383544,-122.492649,51749,1952667.5166192008,2681293.4366192007,1034980
164,High,LetItGo,58,81,58,92.76680342877656,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,185 Surf St,1093426,323654.096,769771.904,37.6383524,-122.4928186,54671.3,1904099.199913473,2673871.103913473,1093426
165,High,LetItGo,49,81,49,77.9986897684872,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,165 Surf St,1059415,313586.8400000001,745828.1599999999,37.6383689,-122.4929864,52970.75,1677748.8985555633,2423577.058555563,1059415
166,High,LetItGo,41,81,41,62.553241999022525,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,155 SURF St,825000,244200,580800,37.6383863,-122.4931619,41250,1169663.518680449,1750463.518680449,825000
167,High,LetItGo,33,81,33,47.20527945161958,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,135 SURF St,1136060,336273.76,799786.24,37.6383515,-122.4933349,56803,1389874.8230139392,2189661.063013939,1136060
168,High,LetItGo,26,81,26,32.046937334215436,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,125 Surf St,1083828,320813.088,763014.912,37.6383522,-122.4935067,54191.4,1112194.8391426902,1875209.7511426902,1083828
169,High,LetItGo,81,81,81,16.654824868337073,within_retreat_threshold,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,105 Surf St,1084244,320936.22400000005,763307.776,37.6383548,-122.4936812,54212.200000000004,NA,NA,NA
170,High,LetItGo,24,81,24,27.206797138648778,safe,cliff_planned_retreat,early,baseline,0.05,0.02,0.15,0,252 SHOREVIEW Ave,1460999,432455.704,1028543.296,37.6373084,-122.4935562,73049.95,1409294.5459992301,2437837.84199923,1460999
171,High,LetItGo,1,81,1,6.419183829085459,immediate_hazard,cliff_immediate_safety,immediate,baseline,0.05,0.02,0.15,0,244 Shoreview Ave,1465000,433640.0000000001,1031359.9999999999,37.6373487,-122.4938017,73250,73250,1104610,1104610
172,High,LetItGo,81,81,81,13.073606829761124,within_retreat_threshold,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,220 Shoreview Ave,1600000,473600,1126400,37.6376743,-122.4939999,80000,NA,NA,NA
173,High,LetItGo,81,81,81,17.21485534915413,within_retreat_threshold,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,204 Shoreview Ave,2038888,603510.848,1435377.152,37.6380995,-122.4940582,101944.40000000001,NA,NA,NA
174,High,LetItGo,81,81,81,17.849183868289103,within_retreat_threshold,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,196 SHOREVIEW Ave,812000,240352,571648,37.6382196,-122.4940686,40600,NA,NA,NA
175,High,LetItGo,81,81,81,17.451389661324484,within_retreat_threshold,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,188 Shoreview Ave,1437617,425534.6320000001,1012082.3679999999,37.6384181,-122.4940694,71880.85,NA,NA,NA
176,High,LetItGo,68,81,68,107.68775943546794,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,196 Shell St,1128125,333925,794200,37.6387001,-122.4926588,56406.25,2128401.5557653634,2922601.5557653634,1128125
177,High,LetItGo,58,81,58,93.40961986234947,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,180 Shell St,1058736,313385.856,745350.144,37.6387148,-122.492821,52936.8,1843689.8066440627,2589039.950644063,1058736
178,High,LetItGo,48,81,48,77.49767858838149,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,166 Shell St,819000,242424,576576,37.638699,-122.4930009,40950,1281185.5313926518,1857761.5313926518,819000
179,High,LetItGo,40,81,40,61.74040295520892,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,150 Shell St,1337559,395917.46400000004,941641.536,37.6386964,-122.4931794,66877.95,1866067.9403458873,2807709.4763458874,1337559
180,High,LetItGo,33,81,33,46.30829107849454,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,136 SHELL St,1075458,318335.5680000001,757122.4319999999,37.6387082,-122.4933546,53772.9,1315733.3216634025,2072855.7536634025,1075458
181,High,LetItGo,26,81,26,31.334960837915787,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,120 Shell St,1235685,365762.76,869922.24,37.6386863,-122.4935237,61784.25,1268026.3656281577,2137948.605628158,1235685
182,High,LetItGo,81,81,81,16.316690753210157,within_retreat_threshold,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,104 SHELL St,1204331,356481.976,847849.024,37.6387052,-122.4936944,60216.55,NA,NA,NA
183,High,LetItGo,67,81,67,107.31525178932124,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,195 Shell St,1410000,417360,992640,37.6390361,-122.492672,70500,2641501.2952924063,3634141.2952924063,1410000
184,High,LetItGo,58,81,58,93.68389433346918,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,185 Shell St,990000,293040,696960,37.6390444,-122.4928267,49500,1723992.4859243683,2420952.4859243683,990000
185,High,LetItGo,46,81,46,74.18907407295649,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,165 SHELL St,925520,273953.92000000004,651566.08,37.6390509,-122.4930478,46276,1410962.6383525205,2062528.7183525204,925520
186,High,LetItGo,68,81,68,104.66685045357632,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,105 Shoreview Ave,1325000,392200,932800,37.6393834,-122.4926941,66250,2499840.054416937,3432640.054416937,1325000
187,High,LetItGo,57,81,57,88.5841524595539,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,115 Shoreview Ave,1240290,367125.8400000001,873164.1599999999,37.6393869,-122.4928763,62014.5,2139791.324317654,3012955.484317654,1240290
188,High,LetItGo,47,81,47,72.60240287685919,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,125 Shoreview Ave,1061705,314264.68000000005,747440.32,37.6393914,-122.4930573,53085.25,1639926.1906646893,2387366.5106646894,1061705
