"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","full_address","annual_rental_income","monthly_rental_income","rentalval","rentalval_note","elevation","distance_to_coast_meters","distance_to_coast_km","median_ageE","whiteE","blackE","asianE","hispanicE","median_incomeE","educationE","unemploymentE"
"PAST SALE","September-25-2020","Multi-Family (2-4 Unit)","6745-6747 Del Playa Dr","Goleta","CA","93117",2600000,15,8,"SB/GOL SOUTH",4739,NA,1967,NA,549,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6745-Del-Playa-Dr-93117/home/21521956","SBMLS","19-3682","Y","Y",34.409459,-119.8644572,"6745-6747 Del Playa Dr, Goleta, CA",130000,10833.3333333333,10833.3333333333,"baseline_5pct",7.6,22.6121657615104,0.0226121657615104,21.3,2436,77,457,470,33325,111,348
"PAST SALE",NA,"Single Family Residential","6743 Del Playa Dr","Goleta","CA","93117",2004412,7,4,NA,2152,6534,1967,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6743-Del-Playa-Dr-93117/home/21574455",NA,NA,"Y","Y",34.409356,-119.864426,"6743 Del Playa Dr, Goleta, CA",100220.6,8351.71666666667,8351.71666666667,"baseline_5pct",7.4,8.94860820309937,0.00894860820309937,21.3,2436,77,457,470,33325,111,348
"PAST SALE","September-12-2008","Single Family Residential","6769 Del Playa Dr","Goleta","CA","93117",955000,2,2,"Goleta",1132,6969,2007,NA,844,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6769-Del-Playa-Dr-93117/home/21574464","SBMLS","08-900","Y","Y",34.4095002,-119.8653726,"6769 Del Playa Dr, Goleta, CA",47750,3979.16666666667,3979.16666666667,"baseline_5pct",7.45,22.0297065483462,0.0220297065483462,21.3,2436,77,457,470,33325,111,348
"PAST SALE",NA,"Single Family Residential","6823 Del Playa Dr","Goleta","CA","93117",1423368,3,2,NA,1494,5663,1967,NA,92,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6823-Del-Playa-Dr-93117/home/21574492",NA,NA,"Y","Y",34.4094728,-119.8673071,"6823 Del Playa Dr, Goleta, CA",71168.4,5930.7,5930.7,"baseline_5pct",7.38,5.38178108163359,0.00538178108163359,21.3,2436,77,457,470,33325,111,348
"PAST SALE",NA,"Single Family Residential","6827 Del Playa Dr","Goleta","CA","93117",1443682,3,2,NA,1344,5663,1973,NA,286,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6827-Del-Playa-Dr-93117/home/21574493",NA,NA,"Y","Y",34.4094892,-119.8674406,"6827 Del Playa Dr, Goleta, CA",72184.1,6015.34166666667,6015.34166666667,"baseline_5pct",7.34,6.69641252077227,0.00669641252077227,21.3,2436,77,457,470,33325,111,348
"PAST SALE",NA,"Single Family Residential","6851 Del Playa Dr","Goleta","CA","93117",2041350,3,5,NA,2181,5663,2015,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6851-Del-Playa-Dr-93117/home/95965599",NA,NA,"Y","Y",34.4096903,-119.8681638,"6851 Del Playa Dr, Goleta, CA",102067.5,8505.625,8505.625,"baseline_5pct",7.38,28.9374981746023,0.0289374981746023,21.3,2436,77,457,470,33325,111,348
"PAST SALE",NA,"Single Family Residential","6855 Del Playa Dr","Goleta","CA","93117",1382709,2,4,NA,1704,5663,2015,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6855-Del-Playa-Dr-93117/home/95965598",NA,NA,"Y","Y",34.409541,-119.86825,"6855 Del Playa Dr, Goleta, CA",69135.45,5761.2875,5761.2875,"baseline_5pct",7.3,8.37578694608249,0.00837578694608249,21.3,2436,77,457,470,33325,111,348
"PAST SALE","September-9-1999","Single Family Residential","6865 Del Playa","Goleta","CA","93117",1670398,3,2,"SB/GOL SOUTH",1465,NA,1959,NA,331,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6865-Del-Playa-Dr-93117/home/21574494","SBMLS","99-1650","Y","Y",34.4095028,-119.8686006,"6865 Del Playa, Goleta, CA",83519.9,6959.99166666667,6959.99166666667,"baseline_5pct",7.24,8.71031004249292,0.00871031004249292,21.3,2436,77,457,470,33325,111,348
"PAST SALE",NA,"Single Family Residential","6877 Del Playa Dr","Goleta","CA","93117",1456090,2,2,NA,1888,9583,1970,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6877-Del-Playa-Dr-93117/home/21575421",NA,NA,"Y","Y",34.4095037,-119.8689513,"6877 Del Playa Dr, Goleta, CA",72804.5,6067.04166666667,6067.04166666667,"baseline_5pct",7.18,14.2738069838401,0.0142738069838401,21.3,2436,77,457,470,33325,111,348
"PAST SALE","May-26-2011","Single Family Residential","6881 Del Playa Dr","Goleta","CA","93117",895000,3,2,"Isla Vista",1202,5662,1957,NA,745,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6881-Del-Playa-Dr-93117/home/21574495","SBMLS","11-1449","Y","Y",34.409594,-119.869113,"6881 Del Playa Dr, Goleta, CA",44750,3729.16666666667,3729.16666666667,"baseline_5pct",7.21,28.8486935095741,0.0288486935095741,21.3,2436,77,457,470,33325,111,348
"PAST SALE",NA,"Single Family Residential","6885 Del Playa Dr","Goleta","CA","93117",1624135,2,3,NA,1948,5227,1967,NA,180,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6885-Del-Playa-Dr-93117/home/21574490",NA,NA,"Y","Y",34.4095563,-119.8693519,"6885 Del Playa Dr, Goleta, CA",81206.75,6767.22916666667,6767.22916666667,"baseline_5pct",7.14,27.5195237880504,0.0275195237880504,21.3,2436,77,457,470,33325,111,348
