SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Multi-Family (2-4 Unit),2 Carmel Ave,Pacifica,CA,94044,,4,3.0,,3426,5250,1947,,,,,,,https://www.redfin.com/CA/Pacifica/2-Carmel-Ave-94044/home/1913977,,,Y,Y,37.6357822,-122.4940416
RENTAL,,Multi-Family (2-4 Unit),70 PALOMA Ave,Pacifica,CA,94044,2858,1,1.0,Pacifica,780,,,,,,,,,https://www.redfin.com/CA/Pacifica/70-Paloma-Ave-94044/home/1860697,,,Y,Y,37.636348,-122.4928759
PAST SALE,September-5-2014,Single Family Residential,80 PALOMA Ave,Pacifica,CA,94044,515000,2,1.0,Pacifica,770,2250,1959,,669,,Sold,,,https://www.redfin.com/CA/Pacifica/80-Paloma-Ave-94044/home/1357247,MLSListings,ML81412649,Y,Y,37.6363236,-122.4927628
PAST SALE,July-14-2017,Multi-Family (2-4 Unit),88 Paloma,Pacifica,CA,94044,1370000,6,3.0,PACIFICA,3240,4800,1961,,423,,Sold,,,https://www.redfin.com/CA/Pacifica/88-Paloma-Ave-94044/home/1986714,MLSListings,ML81647730,Y,Y,37.6363405,-122.4926499
PAST SALE,,Single Family Residential,87 Carmel Ave,Pacifica,CA,94044,97500,2,1.0,,900,4500,1920,,108,,,,,https://www.redfin.com/CA/Pacifica/87-Carmel-Ave-94044/home/618065,,,Y,Y,37.6360361,-122.4927131
PAST SALE,,Single Family Residential,32 Paloma Ave,Pacifica,CA,94044,575000,3,1.0,,920,6750,1953,,625,,,,,https://www.redfin.com/CA/Pacifica/32-Paloma-Ave-94044/home/1502526,,,Y,Y,37.6363509,-122.4934117
PAST SALE,,Single Family Residential,23 Carmel Ave,Pacifica,CA,94044,193000,2,1.0,,800,4230,1947,,241,,,,,https://www.redfin.com/CA/Pacifica/23-Carmel-Ave-94044/home/2013532,,,Y,Y,37.6360451,-122.4934985
PAST SALE,,Single Family Residential,11 Carmel Ave,Pacifica,CA,94044,184500,2,1.0,,800,4500,1952,,231,,,,,https://www.redfin.com/CA/Pacifica/11-Carmel-Ave-94044/home/1939849,,,Y,Y,37.6360273,-122.4936668
PAST SALE,,Single Family Residential,1671 Beach Blvd,Pacifica,CA,94044,170000,3,2.0,,1936,5000,1939,,88,,,,,https://www.redfin.com/CA/Pacifica/1671-Beach-Blvd-94044/home/619682,,,Y,Y,37.6361789,-122.4940313
PAST SALE,April-30-2013,Single Family Residential,1669 BEACH Blvd,Pacifica,CA,94044,1315000,4,4.0,Pacifica,3156,5000,2008,,417,,Sold,,,https://www.redfin.com/CA/Pacifica/1669-Beach-Blvd-94044/home/1105470,MLSListings,ML81308823,Y,Y,37.636291,-122.493989
