parcel_id,scenario,retreat_year,reason,ADDRESS,PRICE,rent,strval,landval,elevation,LATITUDE,LONGITUDE
57,Intermediate_High,1,immediate,657 Sand Point Rd,7235000,117900,3891884.86100951,3343115.13899049,2.85,34.4006401,-119.5411437
58,Intermediate_High,1,immediate,645 Sand Point Rd,9100000,77316,4440800,4659200,2.8,34.400307,-119.5408851
59,Intermediate_High,27,mid_term,635 Sand Point Rd,3085107,78108,1505532.216,1579574.784,2.9,34.4000126,-119.5406023
60,Intermediate_High,1,immediate,625 Sand Point Rd,8500000,117192,4572359.546452085,3927640.453547915,3.06,34.399781,-119.5403518
61,Intermediate_High,1,immediate,591 Sand Point Rd,16250000,119760,7930000,8320000,3.24,34.3992475,-119.5397338
62,Intermediate_High,1,immediate,551 Sand Point Rd,9650000,98856,4709200,4940800,3.94,34.3986396,-119.5391096
63,Intermediate_High,101,no_retreat_needed,539 Sand Point Rd,2288017,70848,1116552.296,1171464.704,4,34.398331,-119.5388418
64,Intermediate_High,1,immediate,4217 Avenue Del Mar,16444061,117624,8024701.767999999,8419359.232,2.97,34.3967633,-119.53613
65,Intermediate_High,1,immediate,4237 Del Mar Ave,8141872,119844,3973233.536,4168638.464,2.9,34.396784,-119.5357877
66,Intermediate_High,1,immediate,4257 Avenue Del Mar,14000000,123036,6832000,7168000,2.9,34.3967947,-119.5355011
67,Intermediate_High,1,immediate,4267 Avenue Del Mar,15000000,123120,7320000,7680000,2.88,34.3968569,-119.5352062
68,Intermediate_High,1,immediate,4271 Del Mar Ave,7553467,120228,3686091.8959999997,3867375.1040000003,2.67,34.396586,-119.534908
69,Intermediate_High,1,immediate,4285 Avenue Del Mar,10263304,94668,5008492.352,5254811.648,2.87,34.3967894,-119.534689
70,Intermediate_High,52,late,4307 Del Mar Ave,1971028,54336,961861.664,1009166.336,2.22,34.395977,-119.534326
71,Intermediate_High,101,never_floods,4301 Avenue Del Mar,6000000,119736,3227547.9151426484,2772452.0848573516,2.51,34.396478,-119.534416
72,Intermediate_High,1,immediate,4327 Del Mar Ave,3249421,71028,1585717.4479999999,1663703.5520000001,2.82,34.3966596,-119.5339743
73,Intermediate_High,1,immediate,4347 Del Mar Ave,3810981,81924,1859758.728,1951222.272,2.88,34.3966383,-119.5337054
