parcel_id,slr_m,storm,depth_m,depth_m_w100,duration_hr,duration_hr_w100,wave_ht_m,wave_ht_m_w100,flooded,runup_dist_m,runup_exposed,runup_dist_m_w100,runup_exposed_w100,in_squeeze_zone,cliff_dist_m,cliff_exposed
22,0,w000,0,0.13,0,4.465486526489258,0,0.00546693941578269,FALSE,115.4756420281507,FALSE,113.01275418899391,FALSE,NA,1345.3318095569455,FALSE
22,0.25,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
22,0.5,w000,0,0,0,0,0,0,FALSE,73.48302716018965,FALSE,114.08511620702434,FALSE,FALSE,1345.3318095569455,FALSE
22,0.75,w000,0,0.07,0,5.91995906829834,0,0.054980017244815826,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
22,1,w000,0,0.18,0,5.91995906829834,0,0.054980017244815826,FALSE,31.715456333443438,TRUE,192.11187272381088,FALSE,FALSE,1345.3318095569455,FALSE
22,1.25,w000,0.08994142532348633,0.66,14.571115493774414,20.80668067932129,0.03137650713324547,0.06975175440311432,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
22,1.5,w000,0.33994140625,1.14,14.571115493774414,20.80668067932129,0.03136831521987915,0.06975175440311432,TRUE,287.606525950749,FALSE,287.606525950749,FALSE,FALSE,1345.3318095569455,FALSE
22,1.75,w000,0,1.19,0,24.734148025512695,0,0.11682069301605225,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
22,2,w000,0,1.5,0,24.734148025512695,0,0.11682069301605225,FALSE,114.07516982358352,FALSE,1033.0426726636067,FALSE,FALSE,1345.3318095569455,FALSE
22,5,w000,3.76994140625,4.1,24.15317153930664,24.16423225402832,0.45821210741996765,1.7895972728729248,TRUE,1032.1012448281588,FALSE,1033.8851812570358,FALSE,FALSE,1345.3318095569455,FALSE
23,0,w000,0,0.06,0,7.282102108001709,0,0.038553010672330856,FALSE,75.53260844356512,FALSE,66.91393047319077,FALSE,NA,1396.2299875954611,FALSE
23,0.25,w000,0,0.36,0,8.188736915588379,0,0.2352062165737152,FALSE,NA,NA,NA,NA,FALSE,1396.2299875954611,FALSE
23,0.5,w000,0,0.17,0,8.188736915588379,0,0.2352062165737152,FALSE,49.02681500235225,TRUE,95.82319544193093,FALSE,FALSE,1396.2299875954611,FALSE
23,0.75,w000,0,0.45,0,10.232356071472168,0,0.38772061467170715,FALSE,NA,NA,NA,NA,FALSE,1396.2299875954611,FALSE
23,1,w000,0.17276832580566406,0.47,5.662047386169434,10.232356071472168,0.1367930918931961,0.38772061467170715,TRUE,51.36883793674914,FALSE,266.1422315187234,FALSE,FALSE,1396.2299875954611,FALSE
23,1.25,w000,0.5653938293457031,1.09,10.637280464172363,17.091121673583984,0.15647119283676147,0.43718647956848145,TRUE,NA,NA,NA,NA,FALSE,1396.2299875954611,FALSE
23,1.5,w000,0.9104212188720703,1.67,10.637280464172363,17.091121673583984,0.15653055906295776,0.43718647956848145,TRUE,358.8648058826025,FALSE,358.8648058826025,FALSE,FALSE,1396.2299875954611,FALSE
23,1.75,w000,0.6560208129882813,1.7,21.87019157409668,23.522804260253906,0.16947020590305328,0.582261860370636,TRUE,NA,NA,NA,NA,FALSE,1396.2299875954611,FALSE
23,2,w000,0.5769082260131836,1.91,21.87019157409668,23.522804260253906,0.1694217026233673,0.582261860370636,TRUE,95.736688442376,FALSE,1047.8124079526963,FALSE,FALSE,1396.2299875954611,FALSE
23,5,w000,3.3859222412109373,3.69,24.345043182373047,24.355947494506836,0.4574950337409973,2.189727783203125,TRUE,1046.837091873072,FALSE,1048.6880851180142,FALSE,FALSE,1396.2299875954611,FALSE
24,0,w000,0,0.13,0,4.465486526489258,0,0.00546693941578269,FALSE,115.4756420281507,FALSE,113.01275418899391,FALSE,NA,1345.3318095569455,FALSE
24,0.25,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
24,0.5,w000,0,0,0,0,0,0,FALSE,73.48302716018965,FALSE,114.08511620702434,FALSE,FALSE,1345.3318095569455,FALSE
24,0.75,w000,0,0.07,0,5.91995906829834,0,0.054980017244815826,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
24,1,w000,0,0.18,0,5.91995906829834,0,0.054980017244815826,FALSE,31.715456333443438,TRUE,192.11187272381088,FALSE,FALSE,1345.3318095569455,FALSE
24,1.25,w000,0.08994142532348633,0.66,14.571115493774414,20.80668067932129,0.03137650713324547,0.06975175440311432,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
24,1.5,w000,0.33994140625,1.14,14.571115493774414,20.80668067932129,0.03136831521987915,0.06975175440311432,TRUE,287.606525950749,FALSE,287.606525950749,FALSE,FALSE,1345.3318095569455,FALSE
24,1.75,w000,0,1.19,0,24.734148025512695,0,0.11682069301605225,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
24,2,w000,0,1.5,0,24.734148025512695,0,0.11682069301605225,FALSE,114.07516982358352,FALSE,1033.0426726636067,FALSE,FALSE,1345.3318095569455,FALSE
24,5,w000,3.76994140625,4.1,24.15317153930664,24.16423225402832,0.45821210741996765,1.7895972728729248,TRUE,1032.1012448281588,FALSE,1033.8851812570358,FALSE,FALSE,1345.3318095569455,FALSE
25,0,w000,0,0,0,0,0,0,FALSE,137.59835491675895,FALSE,136.09585599303722,FALSE,NA,1582.9485035376936,FALSE
25,0.25,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1582.9485035376936,FALSE
25,0.5,w000,0,0,0,0,0,0,FALSE,105.25211653314815,FALSE,25.06733609106323,TRUE,FALSE,1582.9485035376936,FALSE
25,0.75,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1582.9485035376936,FALSE
25,1,w000,0,0,0,0,0,0,FALSE,94.64474657954436,FALSE,213.57063419073953,FALSE,FALSE,1582.9485035376936,FALSE
25,1.25,w000,0,0.08,0,22.642047882080078,0,0,FALSE,NA,NA,NA,NA,FALSE,1582.9485035376936,FALSE
25,1.5,w000,0.05149549961090088,0.6,22.654216766357422,22.642047882080078,0,0,FALSE,215.80426118220595,FALSE,235.8522661865364,FALSE,FALSE,1582.9485035376936,FALSE
25,1.75,w000,0,0.76,0,24.848215103149414,0,0.015977153554558754,FALSE,NA,NA,NA,NA,FALSE,1582.9485035376936,FALSE
25,2,w000,0,0.92,0,24.848215103149414,0,0.015977153554558754,FALSE,25.068798863820362,TRUE,884.8016050330357,FALSE,FALSE,1582.9485035376936,FALSE
25,5,w000,3.431123962402344,3.77,24.24680519104004,24.256132125854492,0.4536273777484894,1.6256500482559204,TRUE,883.7778905748312,FALSE,885.7256619052099,FALSE,FALSE,1582.9485035376936,FALSE
26,0,w000,0,0,0,0,0,0,FALSE,140.3677891435699,FALSE,171.54383838012063,FALSE,NA,1620.758245709627,FALSE
26,0.25,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1620.758245709627,FALSE
26,0.5,w000,0,0,0,0,0,0,FALSE,116.60319749732024,FALSE,62.93811882722094,FALSE,FALSE,1620.758245709627,FALSE
26,0.75,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1620.758245709627,FALSE
26,1,w000,0,0,0,0,0,0,FALSE,89.3464782719097,FALSE,180.19536231128873,FALSE,FALSE,1620.758245709627,FALSE
26,1.25,w000,0,0.09,0,22.45623016357422,0,0.011928612366318703,FALSE,NA,NA,NA,NA,FALSE,1620.758245709627,FALSE
26,1.5,w000,0.11355085372924804,0.58,21.749187469482422,22.45623016357422,0.00530305877327919,0.011928612366318703,FALSE,182.76696201322804,FALSE,205.55425556270777,FALSE,FALSE,1620.758245709627,FALSE
26,1.75,w000,0.01355085253715515,0.78,22.72498321533203,24.850000381469727,0.035440947860479355,0.03824079781770706,FALSE,NA,NA,NA,NA,FALSE,1620.758245709627,FALSE
26,2,w000,0.01,0.98,22.726478576660156,24.850000381469727,0.03585384413599968,0.03824079781770706,FALSE,62.936514733880905,FALSE,869.7102777687345,FALSE,FALSE,1620.758245709627,FALSE
26,5,w000,3.47891357421875,3.82,24.2569580078125,24.291257858276367,0.4491201341152191,1.582277536392212,TRUE,868.6745818242256,FALSE,870.6466331642888,FALSE,FALSE,1620.758245709627,FALSE
27,0,w000,0,0,0,0,0,0,FALSE,15.866239112937183,TRUE,206.36349193156954,FALSE,NA,1759.9326560871334,FALSE
27,0.25,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1759.9326560871334,FALSE
27,0.5,w000,0,0,0,0,0,0,FALSE,4.997686522867704,TRUE,6.714567644001281,TRUE,FALSE,1759.9326560871334,FALSE
27,0.75,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1759.9326560871334,FALSE
27,1,w000,0,0,0,0,0,0,FALSE,6.041186485772191,TRUE,101.31470725893489,FALSE,FALSE,1759.9326560871334,FALSE
27,1.25,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1759.9326560871334,FALSE
27,1.5,w000,0,0,0,0,0,0,FALSE,164.73526843424474,FALSE,166.5045483591029,FALSE,FALSE,1759.9326560871334,FALSE
27,1.75,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1759.9326560871334,FALSE
27,2,w000,0,0.01,0,23.391895294189453,0,1.2238593101501465,FALSE,6.041186485772191,TRUE,949.7902703259269,FALSE,FALSE,1759.9326560871334,FALSE
