parcel_id,property_id,slr_m,storm,scenario,depth_m,duration_hr,flooded,source
8,d619cea82bb12f088e086e781113f17f,1,100-yr,SLR=1.0m | 100-yr,0.18,5.91995906829834,TRUE,CoSMoS
9,4fadfb3c3591c1ad79a801cfa01370d6,1,100-yr,SLR=1.0m | 100-yr,0.18,5.91995906829834,TRUE,CoSMoS
14,0f956c6f09175e6f22794d56a759228a,1,100-yr,SLR=1.0m | 100-yr,0.2,4.783808708190918,TRUE,CoSMoS
16,a24ca6112f4bac3344317057b836aa82,1,100-yr,SLR=1.0m | 100-yr,0.18,5.91995906829834,TRUE,CoSMoS
17,891d7a19c8866d6a7f26c765b8ffa62e,1,100-yr,SLR=1.0m | 100-yr,0.01,9.744956970214844,FALSE,CoSMoS
18,71471ead165734f3c23829d2bfd89b19,1,100-yr,SLR=1.0m | 100-yr,0.18,5.91995906829834,TRUE,CoSMoS
19,fbed1d520e167857fcfba3028ae17d6e,1,100-yr,SLR=1.0m | 100-yr,0.07,5.617352485656738,FALSE,CoSMoS
20,521d913398ccc88ae5ef7b7f1e9f7cfd,1,100-yr,SLR=1.0m | 100-yr,0.18,5.91995906829834,TRUE,CoSMoS
21,7df87557da5a77296076ccb323bd5592,1,100-yr,SLR=1.0m | 100-yr,0.47,10.232356071472168,TRUE,CoSMoS
22,9187a1f1d8484ebe2254d1c53ab43503,1,100-yr,SLR=1.0m | 100-yr,0.18,5.91995906829834,TRUE,CoSMoS
26,39a7d437e8e27b45576cf29f6e28a33d,1,100-yr,SLR=1.0m | 100-yr,0.18,5.91995906829834,TRUE,CoSMoS
27,9c30fbdf740c818d20ede323c68ed454,1,100-yr,SLR=1.0m | 100-yr,1.12,6.536561489105225,TRUE,CoSMoS
28,a73075107dd3cb34000ee4708056cb3f,1,100-yr,SLR=1.0m | 100-yr,0.29,9.590363502502441,TRUE,CoSMoS
30,f1685fa53e41991840a9cff8105898a0,1,100-yr,SLR=1.0m | 100-yr,0.37,8.482233047485352,TRUE,CoSMoS
