parcel_id,scenario,cliff_scenario,retreat_year,mc_enabled,mc_n_sims,mc_mean_year,mc_median_year,mc_sd_year,mc_q05_year,mc_q25_year,mc_q75_year,mc_q95_year,mc_range_years,retreat_trigger,timing_category,cliff_exposure_status,initial_cliff_dist_m,parameter_set,rental_yield,discount_rate,damage_threshold,owner_utility,ADDRESS,PRICE,strval,landval,LATITUDE,LONGITUDE,rent,npv_rent,buyout_uncapped,buyout_price
85,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2035.6746685804203,baseline,0.05,0.02,0.15,0,4447 Del Mar Ave,2968552,1448653.376,1519898.624,34.3964477,-119.5322315,148427.6,NA,NA,NA
86,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1971.822596840461,baseline,0.05,0.02,0.15,0,100 Sandyland Cove Rd,1842488,899134.144,943353.856,34.396788,-119.5312412,92124.40000000001,NA,NA,NA
87,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2002.780959876993,baseline,0.05,0.02,0.15,0,4477 Avenue Del Mar,7500000,3660000,3840000,34.3963265,-119.5319049,375000,NA,NA,NA
88,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1969.2674822439935,baseline,0.05,0.02,0.15,0,4501 Del Mar Ave,4749193,2317606.184,2431586.816,34.396271,-119.5315317,237459.65000000002,NA,NA,NA
89,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1950.199210389455,baseline,0.05,0.02,0.15,0,4509 Del Mar Ave,4361113,2128223.144,2232889.856,34.395982,-119.531471,218055.65000000002,NA,NA,NA
90,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1937.7215941522172,baseline,0.05,0.02,0.15,0,4513 Del Mar Ave,3813899,1861182.712,1952716.288,34.395957,-119.531335,190694.95,NA,NA,NA
91,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1932.8063458268575,baseline,0.05,0.02,0.15,0,4517 Avenue Del Mar,6501121,3172547.048,3328573.952,34.3962075,-119.5311269,325056.05000000005,NA,NA,NA
92,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1919.68761474679,baseline,0.05,0.02,0.15,0,4525 Del Mar Ave,9900000,4831200,5068800,34.39617,-119.53099,495000,NA,NA,NA
93,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1892.1611145065797,baseline,0.05,0.02,0.15,0,4535 Del Mar Ave,3601893,1757723.784,1844169.216,34.3960752,-119.5307125,180094.65000000002,NA,NA,NA
94,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1871.1155714491715,baseline,0.05,0.02,0.15,0,4555 Avenue Del Mar,8700000,4245600,4454400,34.3959425,-119.5305369,435000,NA,NA,NA
95,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1836.7904305317777,baseline,0.05,0.02,0.15,0,4561 Avenue Del Mar,15423112,7526478.6559999995,7896633.3440000005,34.3958263,-119.5301897,771155.6000000001,NA,NA,NA
96,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1816.8236451070777,baseline,0.05,0.02,0.15,0,4567 Avenue Del Mar,2300000,1122400,1177600,34.3957943,-119.529966,115000,NA,NA,NA
97,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1805.3380983754444,baseline,0.05,0.02,0.15,0,4575 Del Mar Ave,1999872,975937.536,1023934.464,34.3957423,-119.5298578,99993.6,NA,NA,NA
98,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1793.0440647775438,baseline,0.05,0.02,0.15,0,4581 Avenue Del Mar,6400000,3123200,3276800,34.3956907,-119.5297395,320000,NA,NA,NA
99,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1780.9261060014674,baseline,0.05,0.02,0.15,0,4587 Avenue Del Mar,6763204,3300443.552,3462760.448,34.3956596,-119.5296108,338160.2,NA,NA,NA
100,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1737.010306703751,baseline,0.05,0.02,0.15,0,4599 Del Mar Ave,3950000,1927600,2022400,34.3955931,-119.5291153,197500,NA,NA,NA
