"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","full_address","annual_rental_income","monthly_rental_income","rentalval","rentalval_note","elevation","distance_to_coast_meters","distance_to_coast_km","median_ageE","whiteE","blackE","asianE","hispanicE","median_incomeE","educationE","unemploymentE"
"PAST SALE",NA,"Single Family Residential","187 Calle del Arroyo","Stinson Beach","CA",94970,2792860,4,3,NA,2249,12060,1968,NA,460,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/187-Calle-del-Arroyo-94970/home/17140209",NA,NA,"Y","Y",37.903726,-122.6520963,"187 Calle del Arroyo, Stinson Beach, CA",139643,11636.9166666667,11636.9166666667,"baseline_5pct",2.96,390.347946404928,0.390347946404928,64.5,1522,0,29,222,96875,463,15
"PAST SALE","July-9-2013","Single Family Residential","1 Sonoma Patio Rd","Stinson Beach","CA",94970,2855030,3,2,"Stinson Beach",1928,7501,1997,NA,752,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Stinson-Beach/1-Sonoma-Patio-94970/home/720948","BAREIS",21311102,"Y","Y",37.9035117,-122.6517168,"1 Sonoma Patio Rd, Stinson Beach, CA",142751.5,11895.9583333333,11895.9583333333,"baseline_5pct",3.35,376.279889820011,0.376279889820011,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","5 Sacramento Patio","Stinson Beach","CA",94970,3534724,3,3,NA,2227,7500,2004,NA,184,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/5-Sacramento-Patio-94970/home/1408119",NA,NA,"Y","Y",37.9029417,-122.651094,"5 Sacramento Patio, Stinson Beach, CA",176736.2,14728.0166666667,14728.0166666667,"baseline_5pct",3.37,324.228614450699,0.324228614450699,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","2 Rafael Patio","Stinson Beach","CA",94970,2055814,2,2,NA,1206,7700,1940,NA,311,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/2-Rafael-Patio-94970/home/932369",NA,NA,"Y","Y",37.9029287,-122.6507704,"2 Rafael Patio, Stinson Beach, CA",102790.7,8565.89166666667,8565.89166666667,"baseline_5pct",2.76,334.752301605929,0.334752301605929,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","4 Rafael Patio","Stinson Beach","CA",94970,1572320,2,1,NA,1060,4800,1979,NA,222,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/4-Rafael-Patio-94970/home/1360066",NA,NA,"Y","Y",37.9027996,-122.6509469,"4 Rafael Patio, Stinson Beach, CA",78616,6551.33333333333,6551.33333333333,"baseline_5pct",3.09,310.943441621155,0.310943441621155,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","5 Rafael Patio","Stinson Beach","CA",94970,2639586,2,2,NA,1076,9100,1964,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/5-Rafael-Patio-94970/home/777779",NA,NA,"Y","Y",37.9024685,-122.6504625,"5 Rafael Patio, Stinson Beach, CA",131979.3,10998.275,10998.275,"baseline_5pct",2.82,285.350003150083,0.285350003150083,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","155 Calle del Arroyo","Stinson Beach","CA",94970,3313150,3,2,NA,2212,10400,1981,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/155-Calle-del-Arroyo-94970/home/40098643",NA,NA,"Y","Y",37.9028092,-122.6502296,"155 Calle del Arroyo, Stinson Beach, CA",165657.5,13804.7916666667,13804.7916666667,"baseline_5pct",2.92,339.367343906189,0.339367343906189,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","2 Jose Patio","Stinson Beach","CA",94970,3218077,2,1,NA,2522,11200,1984,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/2-Jose-Patio-94970/home/1059694",NA,NA,"Y","Y",37.9025421,-122.6501375,"2 Jose Patio, Stinson Beach, CA",160903.85,13408.6541666667,13408.6541666667,"baseline_5pct",3.48,307.416214724415,0.307416214724415,64.5,1522,0,29,222,96875,463,15
"PAST SALE","June-16-2020","Single Family Residential","1 Jose Patio","Stinson Beach","CA",94970,3079503,3,3,"Stinson Beach",1436,8799,1989,NA,1765,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Stinson-Beach/1-Jose-Patio-94970/home/170952137","BAREIS",22004764,"Y","Y",37.9023223,-122.6499259,"1 Jose Patio, Stinson Beach, CA",153975.15,12831.2625,12831.2625,"baseline_5pct",3.1,286.26379830145,0.28626379830145,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","122 Calle del Arroyo","Stinson Beach","CA",94970,1202059,1,1,NA,616,3200,1953,NA,1015,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/122-Calle-del-Arroyo-94970/home/1086867",NA,NA,"Y","Y",37.9020035,-122.6480225,"122 Calle del Arroyo, Stinson Beach, CA",60102.95,5008.57916666667,5008.57916666667,"baseline_5pct",2.47,316.01251138582,0.31601251138582,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","128 Calle del Arroyo","Stinson Beach","CA",94970,1358187,2,1,NA,688,3200,1940,NA,945,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/128-Calle-del-Arroyo-94970/home/721034",NA,NA,"Y","Y",37.9022387,-122.6483786,"128 Calle del Arroyo, Stinson Beach, CA",67909.35,5659.1125,5659.1125,"baseline_5pct",2.58,333.738554529693,0.333738554529693,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","126 Calle del Arroyo","Stinson Beach","CA",94970,1117572,1,1,NA,672,3200,1944,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/126-Calle-del-Arroyo-94970/home/838983",NA,NA,"Y","Y",37.9021304,-122.6482487,"126 Calle del Arroyo, Stinson Beach, CA",55878.6,4656.55,4656.55,"baseline_5pct",2.64,324.286871366492,0.324286871366492,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","124 Calle del Arroyo","Stinson Beach","CA",94970,1566861,2,1,NA,760,3200,1945,NA,868,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/124-Calle-del-Arroyo-94970/home/828695",NA,NA,"Y","Y",37.9020915,-122.6481234,"124 Calle del Arroyo, Stinson Beach, CA",78343.05,6528.5875,6528.5875,"baseline_5pct",2.6,323.868580120096,0.323868580120096,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","134 Calle del Arroyo","Stinson Beach","CA",94970,1822884,3,1,NA,1043,9600,1948,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/134-Calle-del-Arroyo-94970/home/1007821",NA,NA,"Y","Y",37.9023071,-122.6484682,"134 Calle del Arroyo, Stinson Beach, CA",91144.2,7595.35,7595.35,"baseline_5pct",2.34,339.421978717127,0.339421978717127,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","147 Calle del Arroyo","Stinson Beach","CA",94970,3354116,3,3,NA,1436,8800,1989,NA,1765,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/147-Calle-del-Arroyo-94970/home/1412666",NA,NA,"Y","Y",37.9024002,-122.6496474,"147 Calle del Arroyo, Stinson Beach, CA",167705.8,13975.4833333333,13975.4833333333,"baseline_5pct",3.32,307.140432955575,0.307140432955575,64.5,1522,0,29,222,96875,463,15
