SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,annual_rental_income,monthly_rental_income,rentalval,rentalval_note,elevation,distance_to_coast_meters,distance_to_coast_km,median_ageE,whiteE,blackE,asianE,hispanicE,median_incomeE,educationE,unemploymentE,hazard_type,property_id
PAST SALE,December-4-2020,Single Family Residential,231 Seadrift Rd,Stinson Beach,CA,94970,4400000,3,2.5,Stinson Beach,1872,7500,2001,NA,2350,263,Sold,NA,NA,https://www.redfin.com/CA/Stinson-Beach/231-Seadrift-Rd-94970/home/1096318,BAREIS,22026620,Y,Y,37.9071118,-122.665359,"231 Seadrift Rd, Stinson Beach, CA",220000,18333.333333333332,18333.333333333332,baseline_5pct,3.8,337.57052194086526,0.3375705219408653,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,April-12-2016,Single Family Residential,225 Seadrift Rd,Stinson Beach,CA,94970,3959848,3,2,Stinson Beach,1820,7501,2001,NA,1615,233,Sold,NA,NA,https://www.redfin.com/CA/Stinson-Beach/225-Seadrift-Rd-94970/home/723812,BAREIS,21601760,Y,Y,37.907051,-122.664714,"225 Seadrift Rd, Stinson Beach, CA",197992.40000000002,16499.36666666667,16499.36666666667,baseline_5pct,3.44,353.91710629162094,0.35391710629162093,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,221 Seadrift Rd,Stinson Beach,CA,94970,4635644,3,3,NA,2022,7500,2010,NA,420,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/221-Seadrift-Rd-94970/home/22380407,NA,NA,Y,Y,37.9069987,-122.6643401,"221 Seadrift Rd, Stinson Beach, CA",231782.2,19315.183333333334,19315.183333333334,baseline_5pct,3.24,361.13019443869985,0.36113019443869987,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,215 Seadrift Rd,Stinson Beach,CA,94970,3596440,2,2,NA,1930,7500,1980,NA,1425,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/215-Seadrift-Rd-94970/home/937092,NA,NA,Y,Y,37.9069379,-122.6637073,"215 Seadrift Rd, Stinson Beach, CA",179822,14985.166666666666,14985.166666666666,baseline_5pct,3.5,377.01501393326294,0.3770150139332629,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,209 Seadrift Rd,Stinson Beach,CA,94970,3992510,3,3,NA,2082,8250,2003,NA,1033,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/209-Seadrift-Rd-94970/home/1318711,NA,NA,Y,Y,37.9068545,-122.6630619,"209 Seadrift Rd, Stinson Beach, CA",199625.5,16635.458333333332,16635.458333333332,baseline_5pct,3.49,390.37815922399597,0.390378159223996,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,207 Seadrift Rd,Stinson Beach,CA,94970,2838007,2,2,NA,1084,8250,1967,NA,690,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/207-Seadrift-Rd-94970/home/1440114,NA,NA,Y,Y,37.9067758,-122.662855,"207 Seadrift Rd, Stinson Beach, CA",141900.35,11825.029166666667,11825.029166666667,baseline_5pct,3.6,387.76743274704853,0.38776743274704856,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,205 Seadrift Rd,Stinson Beach,CA,94970,3219411,3,3,NA,2172,8250,2004,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/205-Seadrift-Rd-94970/home/1220802,NA,NA,Y,Y,37.9067316,-122.6626781,"205 Seadrift Rd, Stinson Beach, CA",160970.55000000002,13414.212500000001,13414.212500000001,baseline_5pct,3.64,388.59869652350113,0.38859869652350115,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,197 Seadrift Rd,Stinson Beach,CA,94970,3526127,3,2,NA,2108,7500,1965,NA,178,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/197-Seadrift-Rd-94970/home/722555,NA,NA,Y,Y,37.9066282,-122.6618174,"197 Seadrift Rd, Stinson Beach, CA",176306.35,14692.195833333333,14692.195833333333,baseline_5pct,3.24,407.45748724831066,0.40745748724831066,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,195 Seadrift Rd,Stinson Beach,CA,94970,2716790,2,2,NA,1930,7500,1984,NA,681,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/195-Seadrift-Rd-94970/home/720804,NA,NA,Y,Y,37.9066498,-122.661718,"195 Seadrift Rd, Stinson Beach, CA",135839.5,11319.958333333334,11319.958333333334,baseline_5pct,2.95,414.0857445636949,0.4140857445636949,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,191 Seadrift Rd,Stinson Beach,CA,94970,3341913,3,2,NA,2010,7500,1962,NA,938,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/191-Seadrift-Rd-94970/home/1105313,NA,NA,Y,Y,37.9065126,-122.6613539,"191 Seadrift Rd, Stinson Beach, CA",167095.65000000002,13924.637500000003,13924.637500000003,baseline_5pct,3.06,409.6633362200991,0.4096633362200991,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,October-21-2019,Single Family Residential,187 Seadrift Rd,Stinson Beach,CA,94970,3678090,3,2,Stinson Beach,1552,7501,1969,NA,1869,263,Sold,NA,NA,https://www.redfin.com/CA/Stinson-Beach/187-Seadrift-Rd-94970/home/1408113,BAREIS,21909291,Y,Y,37.9065504,-122.6609737,"187 Seadrift Rd, Stinson Beach, CA",183904.5,15325.375,15325.375,baseline_5pct,2.92,429.06946438343897,0.42906946438343896,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
